frame,altitude,airspeed,direction
12767,12.70,36.22,17.26
12768,12.70,36.23,17.31
12769,12.70,36.23,17.36
12770,12.70,36.24,17.41
12771,12.70,36.24,17.46
12772,12.70,36.24,17.51
12773,12.70,36.24,17.56
12774,12.70,36.24,17.60
12775,12.70,36.24,17.65
12776,12.70,36.24,17.69
12777,12.70,36.24,17.73
12778,12.70,36.24,17.78
12779,12.70,36.25,17.82
12780,12.70,36.25,17.86
12781,12.70,36.25,17.89
12782,12.70,36.26,17.93
12783,12.70,36.27,17.96
12784,12.70,36.28,18.00
12785,12.69,36.29,18.03
12786,12.69,36.31,18.06
12787,12.69,36.33,18.08
12788,12.69,36.35,18.11
12789,12.69,36.37,18.13
12790,12.69,36.40,18.15
12791,12.69,36.43,18.17
12792,12.68,36.46,18.19
12793,12.68,36.50,18.20
12794,12.68,36.54,18.21
12795,12.67,36.59,18.22
12796,12.67,36.63,18.23
12797,12.67,36.68,18.24
12798,12.66,36.73,18.24
12799,12.66,36.78,18.25
12800,12.66,36.83,18.25
12801,12.66,36.87,18.26
12802,12.65,36.91,18.27
12803,12.65,36.95,18.28
12804,12.65,36.98,18.29
12805,12.65,37.00,18.30
12806,12.65,37.02,18.32
12807,12.65,37.03,18.33
12808,12.65,37.03,18.35
12809,12.65,37.03,18.37
12810,12.66,37.03,18.39
12811,12.66,37.02,18.42
12812,12.66,37.01,18.43
12813,12.66,37.00,18.45
12814,12.67,37.00,18.47
12815,12.67,36.99,18.48
12816,12.67,36.99,18.49
12817,12.67,36.99,18.50
12818,12.67,37.00,18.50
12819,12.67,37.01,18.50
12820,12.67,37.03,18.49
12821,12.67,37.06,18.48
12822,12.67,37.09,18.46
12823,12.66,37.12,18.44
12824,12.66,37.16,18.42
12825,12.66,37.20,18.39
12826,12.65,37.25,18.36
12827,12.65,37.29,18.33
12828,12.65,37.35,18.30
12829,12.64,37.40,18.27
12830,12.64,37.46,18.24
12831,12.63,37.52,18.21
12832,12.63,37.58,18.18
12833,12.62,37.64,18.14
12834,12.62,37.70,18.12
12835,12.61,37.76,18.09
12836,12.61,37.82,18.06
12837,12.61,37.88,18.04
12838,12.60,37.94,18.02
12839,12.60,38.00,18.00
12840,12.60,38.06,17.99
12841,12.59,38.11,17.98
12842,12.59,38.17,17.97
12843,12.59,38.22,17.97
12844,12.59,38.27,17.97
12845,12.59,38.32,17.97
12846,12.59,38.37,17.97
12847,12.59,38.42,17.98
12848,12.59,38.47,17.99
12849,12.59,38.51,18.00
12850,12.59,38.56,18.01
12851,12.59,38.60,18.03
12852,12.59,38.65,18.04
12853,12.58,38.69,18.06
12854,12.58,38.73,18.08
12855,12.58,38.77,18.09
12856,12.58,38.81,18.11
12857,12.58,38.85,18.13
12858,12.58,38.89,18.15
12859,12.58,38.93,18.17
12860,12.58,38.96,18.18
12861,12.58,39.00,18.20
12862,12.58,39.04,18.22
12863,12.58,39.07,18.23
12864,12.57,39.11,18.25
12865,12.57,39.14,18.26
12866,12.57,39.18,18.27
12867,12.57,39.21,18.29
12868,12.57,39.25,18.30
12869,12.56,39.28,18.31
12870,12.56,39.32,18.33
12871,12.56,39.36,18.34
12872,12.56,39.39,18.35
12873,12.55,39.43,18.37
12874,12.55,39.46,18.38
12875,12.55,39.50,18.40
12876,12.55,39.54,18.42
12877,12.55,39.58,18.43
12878,12.55,39.61,18.45
12879,12.54,39.65,18.47
12880,12.54,39.69,18.50
12881,12.54,39.73,18.52
12882,12.54,39.78,18.54
12883,12.54,39.82,18.57
12884,12.54,39.86,18.60
12885,12.55,39.91,18.63
12886,12.55,39.95,18.66
12887,12.55,40,18.7
12905,12.55,40.5,18.7
12923,12.57,40.5,18.3
12995,13.15,38.2,22
12995,13.15,38.20,22.00
12996,13.16,38.16,22.04
12997,13.16,38.11,22.07
12998,13.17,38.07,22.11
12999,13.17,38.03,22.14
13000,13.18,37.99,22.18
13001,13.18,37.94,22.21
13002,13.19,37.90,22.25
13003,13.19,37.86,22.29
13004,13.20,37.81,22.32
13005,13.20,37.77,22.36
13006,13.21,37.73,22.39
13007,13.21,37.69,22.43
13008,13.22,37.64,22.46
13009,13.23,37.60,22.50
13010,13.23,37.56,22.54
13011,13.24,37.51,22.57
13012,13.24,37.47,22.61
13013,13.25,37.43,22.64
13014,13.25,37.39,22.68
13015,13.26,37.34,22.71
13016,13.26,37.30,22.75
13017,13.27,37.26,22.79
13018,13.27,37.21,22.82
13019,13.28,37.17,22.86
13020,13.28,37.13,22.89
13021,13.29,37.09,22.93
13022,13.29,37.04,22.96
13023,13.3,37,23
13169,13.00,35.80,25.00
13170,12.99,35.81,24.93
13171,12.99,35.82,24.86
13172,12.98,35.83,24.80
13173,12.98,35.84,24.73
13174,12.97,35.85,24.66
13175,12.97,35.85,24.59
13176,12.96,35.86,24.52
13177,12.96,35.87,24.45
13178,12.95,35.88,24.39
13179,12.95,35.89,24.32
13180,12.94,35.90,24.25
13181,12.93,35.91,24.18
13182,12.93,35.92,24.11
13183,12.92,35.93,24.05
13184,12.92,35.94,23.98
